anldt,anlrst,obsrvtcd,obsrvtnm,ugrwtrl,,¿¬¿ù,Æò±Õ,¿¬µµ,Æò±Õ2
20190611,1,11749,µ¿ÇØ±Í¿î,21,,,,,
20190612,1,11749,µ¿ÇØ±Í¿î,21,,,,,
20190613,1,11749,µ¿ÇØ±Í¿î,21,,,,,
20190614,1,11749,µ¿ÇØ±Í¿î,21,,,,,
20190615,1,11749,µ¿ÇØ±Í¿î,21,,,,,
20190616,0,11749,µ¿ÇØ±Í¿î,75,,,,,
20190617,0,11749,µ¿ÇØ±Í¿î,74,,,,,
20190618,0,11749,µ¿ÇØ±Í¿î,73,,,,,
20190619,0,11749,µ¿ÇØ±Í¿î,73,,,,,
20190620,0,11749,µ¿ÇØ±Í¿î,71,,,,,
20190621,0,11749,µ¿ÇØ±Í¿î,71,,,,,
20190622,0,11749,µ¿ÇØ±Í¿î,71,,,,,
20190623,0,11749,µ¿ÇØ±Í¿î,71,,,,,
20190624,0,11749,µ¿ÇØ±Í¿î,69,,,,,
20190625,0,11749,µ¿ÇØ±Í¿î,68,,,,,
20190626,0,11749,µ¿ÇØ±Í¿î,69,,,,,
20190627,0,11749,µ¿ÇØ±Í¿î,69,,,,,
20190628,0,11749,µ¿ÇØ±Í¿î,68,,,,,
20190629,0,11749,µ¿ÇØ±Í¿î,65,,,,,
20190630,0,11749,µ¿ÇØ±Í¿î,69,,,,,
20190701,0,11749,µ¿ÇØ±Í¿î,68,,,,,
20190702,0,11749,µ¿ÇØ±Í¿î,63,,,,,
20190703,0,11749,µ¿ÇØ±Í¿î,58,,,,,
20190704,0,11749,µ¿ÇØ±Í¿î,54,,,,,
20190705,0,11749,µ¿ÇØ±Í¿î,50,,,,,
20190706,1,11749,µ¿ÇØ±Í¿î,46,,,,,
20190707,1,11749,µ¿ÇØ±Í¿î,42,,,,,
20190708,1,11749,µ¿ÇØ±Í¿î,39,,,,,
20190709,1,11749,µ¿ÇØ±Í¿î,36,,,,,
20190710,1,11749,µ¿ÇØ±Í¿î,37,,,,,
20190711,1,11749,µ¿ÇØ±Í¿î,38,,,,,
20190712,0,11749,µ¿ÇØ±Í¿î,78,,,,,
20190713,0,11749,µ¿ÇØ±Í¿î,76,,,,,
20190714,0,11749,µ¿ÇØ±Í¿î,74,,,,,
20190715,0,11749,µ¿ÇØ±Í¿î,72,,,,,
20190716,0,11749,µ¿ÇØ±Í¿î,71,,,,,
20190717,0,11749,µ¿ÇØ±Í¿î,71,,,,,
20190718,0,11749,µ¿ÇØ±Í¿î,70,,,,,
20190719,0,11749,µ¿ÇØ±Í¿î,70,,,,,
20190720,0,11749,µ¿ÇØ±Í¿î,69,,,,,
20190721,0,11749,µ¿ÇØ±Í¿î,76,,,,,
20190722,0,11749,µ¿ÇØ±Í¿î,76,,,,,
20190723,0,11749,µ¿ÇØ±Í¿î,74,,,,,
20190724,0,11749,µ¿ÇØ±Í¿î,72,,,,,
20190725,0,11749,µ¿ÇØ±Í¿î,70,,,,,
20190726,0,11749,µ¿ÇØ±Í¿î,70,,,,,
20190727,0,11749,µ¿ÇØ±Í¿î,69,,,,,
20190728,0,11749,µ¿ÇØ±Í¿î,68,,,,,
20190729,0,11749,µ¿ÇØ±Í¿î,68,,,,,
20190730,0,11749,µ¿ÇØ±Í¿î,67,,,,,
20190731,0,11749,µ¿ÇØ±Í¿î,67,,,,,
20190801,0,11749,µ¿ÇØ±Í¿î,65,,,,,
20190802,0,11749,µ¿ÇØ±Í¿î,63,,,,,
20190803,4,11749,µ¿ÇØ±Í¿î,1,,,,,
20190804,0,11749,µ¿ÇØ±Í¿î,59,,,,,
20190805,0,11749,µ¿ÇØ±Í¿î,59,,,,,
20190806,0,11749,µ¿ÇØ±Í¿î,54,,,,,
20190807,0,11749,µ¿ÇØ±Í¿î,53,,,,,
20190808,0,11749,µ¿ÇØ±Í¿î,77,,,,,
20190809,0,11749,µ¿ÇØ±Í¿î,73,,,,,
20190810,0,11749,µ¿ÇØ±Í¿î,73,,,,,
20190811,0,11749,µ¿ÇØ±Í¿î,70,,,,,
20190812,0,11749,µ¿ÇØ±Í¿î,70,,,,,
20190813,0,11749,µ¿ÇØ±Í¿î,70,,,,,
20190814,0,11749,µ¿ÇØ±Í¿î,69,,,,,
20190815,0,11749,µ¿ÇØ±Í¿î,68,,,,,
20190816,0,11749,µ¿ÇØ±Í¿î,69,,,,,
20190820,0,11749,µ¿ÇØ±Í¿î,72,,,,,
20190821,0,11749,µ¿ÇØ±Í¿î,71,,,,,
20190822,0,11749,µ¿ÇØ±Í¿î,70,,,,,
20190823,0,11749,µ¿ÇØ±Í¿î,69,,,,,
20190824,0,11749,µ¿ÇØ±Í¿î,68,,,,,
20190825,0,11749,µ¿ÇØ±Í¿î,68,,,,,
20190826,0,11749,µ¿ÇØ±Í¿î,67,,,,,
20190827,0,11749,µ¿ÇØ±Í¿î,67,,,,,
20190828,0,11749,µ¿ÇØ±Í¿î,66,,,,,
20190829,0,11749,µ¿ÇØ±Í¿î,64,,,,,
20190830,0,11749,µ¿ÇØ±Í¿î,63,,,,,
20190831,0,11749,µ¿ÇØ±Í¿î,60,,,,,
20190901,0,11749,µ¿ÇØ±Í¿î,58,,,,,
20190902,0,11749,µ¿ÇØ±Í¿î,50,,,,,
20190903,1,11749,µ¿ÇØ±Í¿î,49,,,,,
20190904,0,11749,µ¿ÇØ±Í¿î,59,,,,,
20190905,0,11749,µ¿ÇØ±Í¿î,62,,,,,
20190906,0,11749,µ¿ÇØ±Í¿î,64,,,,,
20190907,0,11749,µ¿ÇØ±Í¿î,65,,,,,
20190908,0,11749,µ¿ÇØ±Í¿î,67,,,,,
20190909,0,11749,µ¿ÇØ±Í¿î,65,,,,,
20190910,0,11749,µ¿ÇØ±Í¿î,63,,,,,
20190911,0,11749,µ¿ÇØ±Í¿î,62,,,,,
20190912,0,11749,µ¿ÇØ±Í¿î,72,,,,,
20190913,0,11749,µ¿ÇØ±Í¿î,71,,,,,
