발생장소_시도,발생원인_기타
경북,전기목책지합선
강원,쓰레기소각(생활)
경기,쓰레기소각(생활)
경기,미상
경북,주택화재비화
충북,입산자실화
충남,입산자실화
강원,건축물화재비화
전남,담뱃불실화
울산,농업부산물소각(과수원)
전북,입산자실화
경북,방화추정
충북,입산자실화
경기,입산자실화
경남,입산자실화
경기,입산자실화
충남,입산자(야영객)실화추정
충남,주택화재
경기,논밭두렁소각
전북,입산자실화
강원,미상
경기,입산자실화
전남,입산자실화
충남,입산자실화
경남,주택전기누전추정
경기,담뱃불실화
경기,입산자실화
부산,주택내가연물
경기,미상
경북,쓰레기(드럼통)소각
경기,담뱃불실화
전북,입산자실화
경남,쓰레기소각(생활)
경북,공장화재비화
경남,담뱃불추정
경북,반사필름에의한전신주스파크크
경북,농산폐기물소각
경남,쓰레기소각(생활)
강원,창고화재
충남,미상
전북,입산자실화
경기,주택화재비화
경기,아궁이재비산
부산,조사중
전북,입산자실화
강원,쓰레기소각(생활)
경기,미상
전남,불씨취급부주의
전남,입산자실화
강원,미상
경남,입산자실화
세종,묘지잔가지소각비화
부산,조사중
전남,밭두렁소각
충북,성묘객실화
경기,성묘객실화
충북,입산자실화
세종,미상
충남,입산자실화
강원,불씨취급부주의
경남,쓰레기소각
경북,농업부산물소각
충남,입산자실화
부산,미상
경기,오발탄으로인한화재
경기,미상
대구,비닐하우스화재(양봉장작업)
경기,공장화재비화
경기,쓰레기소각
경북,산림사업장실화
강원,성묘객실화(향불)
울산,입산자실화(무속행위)
경기,미상
경북,밭두렁소각
전남,담뱃불추정
경기,미상
경남,건축물실화
경북,산림사업장실화
부산,조사중
경남,용접불씨전이
세종,담뱃불추정
강원,화목보일러재투기
경기,농업부산물소각
경북,농업부산물소각
경북,화목보일러재투기
경북,입산자(등산객)실화
울산,입산자실화
경기,쓰레기소각
강원,밭잡초소각
충남,잡풀소각
경남,성묘객실화
경북,입산자실화
경기,화목보일러재투기
전남,묘지쓰레기소각
경기,화목보일러블씨
경북,쓰레기소각
충남,입산자실화
경기,미상
강원,미상
전북,입산자실화
울산,입산자담뱃불실화
경북,입산자실화
경남,축사화재
전남,담뱃불실화
경남,산업현장실화(용접불꽃)
경북,전신주전선로아크발생
울산,산업현장실화
경기,쓰레기소각
전북,쓰레기소각
울산,입산자실화
경북,미상
경북,공장화재비화
경북,쓰레기소각추정
대구,화목난로 재
경남,쓰레기소각추정
경북,산업현장실화(데크용접중)
경기,미상
경남,쓰레기소각
경기,미상
경기,산업현장실화
