시도,피해시작일
전라남도,2017
전라남도,2017
충청북도,2017
충청북도,2017
충청북도,2017
충청북도,2017
충청북도,2017
충청북도,2017
충청북도,2017
충청북도,2017
충청북도,2017
충청북도,2017
충청북도,2017
충청북도,2017
충청북도,2017
강원도,2018
경기도,2018
경기도,2018
경기도,2018
강원도,2018
강원도,2018
강원도,2018
강원도,2018
강원도,2018
경기도,2018
전라남도,2018
전라남도,2018
전라남도,2018
충청남도,2018
경기도,2018
강원도,2018
강원도,2018
강원도,2018
경상북도,2018
경기도,2018
충청북도,2018
강원도,2018
경상남도,2018
경상남도,2018
경상남도,2018
강원도,2018
경상남도,2018
경상남도,2018
경상남도,2018
충청북도,2018
충청남도,2018
전라북도,2018
강원도,2018
경기도,2018
전라북도,2018
강원도,2018
강원도,2018
강원도,2018
강원도,2018
강원도,2018
강원도,2018
강원도,2018
강원도,2018
강원도,2018
강원도,2018
강원도,2018
충청남도,2018
충청남도,2018
충청북도,2018
강원도,2018
강원도,2018
전라북도,2018
경상남도,2018
경기도,2018
경기도,2018
충청북도,2018
강원도,2018
강원도,2018
충청북도,2018
강원도,2018
강원도,2018
강원도,2018
경기도,2018
충청북도,2018
강원도,2018
충청북도,2018
강원도,2018
강원도,2018
전라북도,2018
강원도,2018
경기도,2018
경기도,2018
경기도,2018
강원도,2018
전라북도,2018
전라북도,2018
경기도,2018
경기도,2018
강원도,2018
경기도,2018
강원도,2018
경기도,2018
강원도,2018
강원도,2018
강원도,2018
강원도,2018
강원도,2018
강원도,2018
강원도,2018
충청북도,2018
강원도,2018
강원도,2018
전라북도,2018
강원도,2018
강원도,2018
강원도,2018
강원도,2018
경기도,2018
경기도,2018
경기도,2018
경기도,2018
경기도,2018
경기도,2018
경기도,2018
경기도,2018
경기도,2018
경기도,2018
경기도,2018
경기도,2018
경기도,2018
경기도,2018
강원도,2018
강원도,2018
경기도,2018
경기도,2018
경기도,2018
충청북도,2018
전라북도,2018
경기도,2018
강원도,2018
강원도,2018
강원도,2018
강원도,2018
강원도,2018
강원도,2018
전라북도,2018
강원도,2018
강원도,2018
충청북도,2018
충청북도,2018
강원도,2018
충청북도,2018
전라북도,2018
충청북도,2018
전라북도,2018
경상북도,2018
충청북도,2018
경상북도,2018
충청북도,2018
충청북도,2018
경기도,2018
충청북도,2018
충청북도,2018
강원도,2018
충청북도,2018
충청북도,2018
충청북도,2018
충청북도,2018
충청남도,2018
경상북도,2018
경기도,2018
전라남도,2018
전라남도,2018
강원도,2018
강원도,2018
충청북도,2018
충청북도,2018
강원도,2018
강원도,2018
강원도,2018
경기도,2018
