지점,지점명,년월,SPI3,SPI6
143,대구,2018-02,-0.7418571428571428,-0.8609285714285715
143,대구,2018-03,0.9839677419354839,0.2468064516129032
143,대구,2018-04,1.5083666666666666,0.5387333333333333
143,대구,2018-05,1.6694516129032257,1.0399677419354838
143,대구,2018-06,0.6663,0.9667666666666667
143,대구,2018-07,0.5360645161290322,0.9365806451612902
143,대구,2018-08,-0.22645161290322582,0.3660322580645161
143,대구,2018-09,0.35126666666666667,0.5615
143,대구,2018-10,0.6826333333333333,0.7241935483870967
143,대구,2018-11,1.2867,0.6860999999999999
143,대구,2018-12,1.2713225806451613,0.7088709677419355
143,대구,2019-01,-0.34322580645161294,0.7314193548387097
143,대구,2019-02,-0.18239285714285716,1.3892857142857142
143,대구,2019-03,-0.6809677419354838,0.8780645161290322
143,대구,2019-04,-0.898,-0.763
143,대구,2019-05,-0.824516129032258,-0.7522580645161291
143,대구,2019-06,-0.8733333333333333,-1.1056666666666668
143,대구,2019-07,-0.3406451612903226,-0.6583870967741936
143,대구,2019-08,-0.6883870967741935,-0.9396774193548387
143,대구,2019-09,-0.4723333333333333,-0.7836666666666667
143,대구,2019-10,0.49193548387096775,0.10806451612903226
143,대구,2019-11,0.8683333333333334,0.07233333333333333
143,대구,2019-12,1.4925806451612904,0.24225806451612902
143,대구,2020-01,0.5612903225806452,0.5125806451612903
143,대구,2020-02,1.31,1.1837931034482758
143,대구,2020-03,1.2167741935483871,1.8248387096774195
143,대구,2020-04,-0.11966666666666667,0.08866666666666667
143,대구,2020-05,-1.1829032258064516,-0.09516129032258065
143,대구,2020-06,-0.8486666666666667,-0.06333333333333332
143,대구,2020-07,0.052258064516129035,-0.021935483870967738
143,대구,2020-08,1.4348387096774193,1.0229032258064517
143,대구,2020-09,1.4426666666666668,1.099
143,대구,2020-10,1.1209677419354838,0.9251612903225807
143,대구,2020-11,-0.16733333333333336,1.0266666666666666
143,대구,2020-12,-1.429032258064516,0.9483870967741935
143,대구,2021-01,-1.1074193548387097,0.96
143,대구,2021-02,-0.47785714285714287,-0.4057142857142857
143,대구,2021-03,0.5903225806451613,-0.8174193548387096
143,대구,2021-04,0.892,0.04633333333333333
143,대구,2021-05,0.24290322580645163,-0.08064516129032258
143,대구,2021-06,-0.2816666666666666,-0.035333333333333335
143,대구,2021-07,-0.6338709677419354,-0.3174193548387097
143,대구,2021-08,-0.782258064516129,-0.6493548387096774
143,대구,2021-09,-0.5196666666666666,-0.6306666666666666
143,대구,2021-10,-0.3258064516129032,-0.7396774193548387
143,대구,2021-11,0.111,-0.5913333333333333
143,대구,2021-12,-0.03193548387096774,-0.547741935483871
143,대구,2022-01,-0.24064516129032257,-0.44290322580645164
143,대구,2022-02,-1.4222222222222223,-0.1925925925925926
143,대구,2022-03,-3.0661290322580643,-0.9825806451612904
143,대구,2022-04,-2.227333333333333,-1.666
143,대구,2022-05,-1.9829032258064516,-2.3583870967741936
143,대구,2022-06,-1.7776666666666665,-2.56
143,대구,2022-07,-1.6441935483870966,-2.2774193548387096
143,대구,2022-08,-1.8628571428571428,-2.3689285714285715
143,대구,2022-09,-1.3075862068965518,-1.8637931034482758
143,대구,2022-10,-0.8329032258064516,-1.7264516129032257
143,대구,2022-11,-0.32103448275862073,-1.6824137931034482
143,대구,2022-12,-0.44870967741935486,-1.3725806451612903
143,대구,2023-01,-0.2990322580645161,-0.9977419354838709
143,대구,2023-02,0.10035714285714285,-0.5310714285714286
143,대구,2023-03,-1.0554838709677419,-1.2525806451612902
143,대구,2023-04,-1.495,-1.3539999999999999
143,대구,2023-05,-0.5083333333333333,-0.4533333333333333
143,대구,2023-06,0.7116666666666667,0.18766666666666668
143,대구,2023-07,1.0370000000000001,0.671
146,전주,2013-07,-0.14345454545454547,-0.0930909090909091
146,전주,2013-08,0.13583870967741937,0.0877741935483871
146,전주,2013-09,0.04773333333333333,-0.09666666666666666
146,전주,2013-10,0.016483870967741936,-0.1164516129032258
146,전주,2013-11,-0.3609,-0.20020000000000002
146,전주,2013-12,0.026354838709677416,-0.008354838709677419
146,전주,2014-01,-0.2810645161290322,-0.12029032258064516
146,전주,2014-02,-0.4806785714285714,-0.6423571428571428
146,전주,2014-03,-1.2868709677419354,-0.7450645161290324
146,전주,2014-04,-0.4384,-0.6199333333333333
146,전주,2014-05,-0.11293548387096773,-0.4180645161290322
146,전주,2014-06,-0.26486666666666664,-0.8552
146,전주,2014-07,-0.7765806451612903,-0.9265806451612904
146,전주,2014-08,-0.5336129032258065,-0.5606451612903226
146,전주,2014-09,-0.34643333333333337,-0.4761666666666667
146,전주,2014-10,0.11551612903225807,-0.47877419354838713
146,전주,2014-11,0.3829666666666666,-0.2698
146,전주,2014-12,1.1756129032258065,0.024774193548387096
146,전주,2015-01,1.515290322580645,0.6702258064516129
146,전주,2015-02,0.9621071428571428,0.6483214285714285
146,전주,2015-03,-0.4052903225806452,0.8484838709677419
146,전주,2015-04,-0.5842333333333334,0.7494666666666666
